gene,pathway
C05D2.3,path:cel00350
C14E2.2,path:cel00350
C14F11.1,path:cel00350
C31H2.4,path:cel00350
C34G6.2,path:cel00350
C44E4.3,path:cel00350
D1053.1,path:cel00350
D2063.1,path:cel00350
F42D1.2,path:cel00350
H24K24.3,path:cel00350
K01C8.3,path:cel00350
K10C2.4,path:cel00350
K12G11.3,path:cel00350
K12G11.4,path:cel00350
T01C8.5,path:cel00350
T08B1.3,path:cel00350
T21C12.2,path:cel00350
W06D4.1,path:cel00350
Y53G8B.1,path:cel00350
Y56A3A.3,path:cel00350
Y71F9AL.5,path:cel00350
ZK829.2,path:cel00350
C05D2.3,path:cel00360
C14E2.2,path:cel00360
C14F11.1,path:cel00360
C31H2.4,path:cel00360
C44E4.3,path:cel00360
F42D1.2,path:cel00360
K01C8.3,path:cel00360
K08F8.4,path:cel00360
T01C8.5,path:cel00360
T08B1.3,path:cel00360
T21C12.2,path:cel00360
Y56A3A.3,path:cel00360
ZK1127.2,path:cel00360
ZK829.2,path:cel00360
B0272.3,path:cel00380
C05D2.3,path:cel00380
C15H9.7,path:cel00380
C28H8.11,path:cel00380
C29F3.1,path:cel00380
F01F1.6,path:cel00380
F01G10.2,path:cel00380
F01G10.3,path:cel00380
F54C8.1,path:cel00380
F54D5.7,path:cel00380
F54D8.3,path:cel00380
K01C8.3,path:cel00380
K06A4.5,path:cel00380
R03A10.4,path:cel00380
R07B7.5,path:cel00380
R09B5.6,path:cel00380
T02G5.7,path:cel00380
T02G5.8,path:cel00380
T05G5.6,path:cel00380
T05H4.13,path:cel00380
T08B2.7,path:cel00380
T22B11.5,path:cel00380
Y54G11A.13,path:cel00380
Y54G11A.5,path:cel00380
Y54G11A.6,path:cel00380
Y69F12A.2,path:cel00380
Y71D11A.3,path:cel00380
ZK1058.6,path:cel00380
ZK829.2,path:cel00380
C14E2.2,path:cel00400
C14F11.1,path:cel00400
C44E4.3,path:cel00400
F42D1.2,path:cel00400
K08F8.4,path:cel00400
T01C8.5,path:cel00400
C25F6.3,path:cel00410
C29F3.1,path:cel00410
C47E12.8,path:cel00410
F01F1.6,path:cel00410
F09F7.4,path:cel00410
F13D12.4,path:cel00410
F13H8.7,path:cel00410
F35G12.1,path:cel00410
F54D8.3,path:cel00410
K04D7.3,path:cel00410
K05F1.3,path:cel00410
T05G5.6,path:cel00410
T05H4.13,path:cel00410
T08B1.3,path:cel00410
T08B2.7,path:cel00410
T25G12.5,path:cel00410
Y37D8A.23,path:cel00410
Y46G5A.19,path:cel00410
Y69F12A.2,path:cel00410
C53D5.5,path:cel00430
F56F10.3,path:cel00430
T03D8.6,path:cel00430
Y37D8A.23,path:cel00430
Y7A9A.1,path:cel00430
C12C8.2,path:cel00450
D1054.13,path:cel00450
F13H8.9,path:cel00450
F22B8.6,path:cel00450
F58B3.5,path:cel00450
R03A10.4,path:cel00450
R03D7.1,path:cel00450
T14G10.1,path:cel00450
Y105E8A.20,path:cel00450
Y45F10A.4,path:cel00450
ZK1127.10,path:cel00450
C05D11.11,path:cel00460
C50F7.10,path:cel00460
C53D5.5,path:cel00460
T03D8.6,path:cel00460
Y7A9A.1,path:cel00460
ZK1058.6,path:cel00460
DH11.1,path:cel00471
F30F8.2,path:cel00471
ZK829.4,path:cel00471
Y69A2AR.5,path:cel00472
B0035.5,path:cel00480
C02D5.3,path:cel00480
C02D5.4,path:cel00480
C03C10.3,path:cel00480
C11E4.1,path:cel00480
C11E4.2,path:cel00480
C29E4.7,path:cel00480
C34F6.8,path:cel00480
C44B7.7,path:cel00480
C53D5.5,path:cel00480
E01A2.1,path:cel00480
F11G11.1,path:cel00480
F11G11.2,path:cel00480
F11G11.3,path:cel00480
F13A7.10,path:cel00480
F26E4.12,path:cel00480
F35E8.8,path:cel00480
F37B12.2,path:cel00480
F59B8.2,path:cel00480
K08F4.11,path:cel00480
K08F4.6,path:cel00480
K08F4.7,path:cel00480
K11C4.4,path:cel00480
M176.2,path:cel00480
R03D7.6,path:cel00480
R03G5.5,path:cel00480
R05H10.5,path:cel00480
R07B1.4,path:cel00480
R107.7,path:cel00480
R11G1.3,path:cel00480
T03D8.6,path:cel00480
T23G5.1,path:cel00480
T25B9.9,path:cel00480
W07G4.4,path:cel00480
Y38F2AR.12,path:cel00480
Y45G12C.2,path:cel00480
Y46G5A.19,path:cel00480
Y7A9A.1,path:cel00480
ZK1320.1,path:cel00480
ZK546.11,path:cel00480
ZK637.10,path:cel00480
B0310.5,path:cel00500
C17G1.3,path:cel00500
C18C4.3,path:cel00500
C23H3.7,path:cel00500
C50F7.10,path:cel00500
D2096.3,path:cel00500
D2096.4,path:cel00500
F14B4.2,path:cel00500
F29F11.1,path:cel00500
F35H8.6,path:cel00500
F39G3.1,path:cel00500
F57B10.7,path:cel00500
K08E3.5,path:cel00500
M88.1,path:cel00500
R05F9.6,path:cel00500
R06A4.8,path:cel00500
T04A8.7,path:cel00500
T04H1.7,path:cel00500
T04H1.8,path:cel00500
T07C5.1,path:cel00500
T22F3.3,path:cel00500
